s_p,s_n,cluster_label,cluster_type
72.7,-152.0,0,cluster_0
66.4,-159.0,0,cluster_0
65.3,-180.0,0,cluster_0
5.73,-4.13,0,cluster_0
-71.4,-73.0,0,cluster_0
345.0,-247.0,1,cluster_1
263.0,-187.0,1,cluster_1
163.0,-165.0,1,cluster_1
-144.0,-151.0,0,cluster_0
-74.0,-205.0,0,cluster_0
329.0,-236.0,1,cluster_1
268.0,-186.0,1,cluster_1
222.0,97.4,0,cluster_0
429.0,-146.0,-1,noise
-27.5,-241.0,0,cluster_0
265.0,-153.0,1,cluster_1
-101.0,-213.0,0,cluster_0
-1.18,-67.1,0,cluster_0
-218.0,-247.0,0,cluster_0
327.0,269.0,-1,noise
-30.2,-34.2,0,cluster_0
100.0,99.2,0,cluster_0
265.0,240.0,-1,noise
102.0,-10.0,0,cluster_0
273.0,-198.0,1,cluster_1
108.0,1.38,0,cluster_0
-84.8,-85.8,0,cluster_0
-91.1,-169.0,0,cluster_0
-22.0,-174.0,0,cluster_0
-214.0,-223.0,0,cluster_0
-150.0,-146.0,0,cluster_0
40.3,28.0,0,cluster_0
-42.6,-101.0,0,cluster_0
47.8,-209.0,0,cluster_0
-213.0,-236.0,0,cluster_0
11.1,8.25,0,cluster_0
-114.0,-122.0,0,cluster_0
245.0,-138.0,1,cluster_1
317.0,-63.4,-1,noise
25.8,-31.1,0,cluster_0
-16.0,-29.9,0,cluster_0
-81.8,-84.0,0,cluster_0
-148.0,-149.0,0,cluster_0
228.0,204.0,0,cluster_0
6.86,-55.8,0,cluster_0
-45.0,-46.1,0,cluster_0
224.0,-204.0,1,cluster_1
292.0,-65.3,-1,noise
19.9,-151.0,0,cluster_0
-42.7,-45.5,0,cluster_0
97.1,97.1,0,cluster_0
297.0,-206.0,1,cluster_1
148.0,131.0,0,cluster_0
108.0,96.8,0,cluster_0
116.0,111.0,0,cluster_0
47.9,-38.2,0,cluster_0
-15.4,-42.5,0,cluster_0
-127.0,-129.0,0,cluster_0
-57.3,-80.8,0,cluster_0
318.0,254.0,-1,noise
-126.0,-166.0,0,cluster_0
-199.0,-200.0,0,cluster_0
39.5,21.0,0,cluster_0
-132.0,-173.0,0,cluster_0
-231.0,-245.0,0,cluster_0
147.0,102.0,0,cluster_0
-75.2,-234.0,0,cluster_0
42.6,41.4,0,cluster_0
-32.4,-33.7,0,cluster_0
-175.0,-178.0,0,cluster_0
-124.0,-143.0,0,cluster_0
148.0,143.0,0,cluster_0
468.0,384.0,-1,noise
-0.631,-137.0,0,cluster_0
-201.0,-216.0,0,cluster_0
-37.7,-37.7,0,cluster_0
-142.0,-140.0,0,cluster_0
197.0,194.0,0,cluster_0
-11.0,-12.0,0,cluster_0
-75.0,-77.2,0,cluster_0
72.6,54.3,0,cluster_0
146.0,98.2,0,cluster_0
-35.9,-38.0,0,cluster_0
55.2,28.6,0,cluster_0
-160.0,-183.0,0,cluster_0
-123.0,-139.0,0,cluster_0
76.3,76.3,0,cluster_0
251.0,-247.0,1,cluster_1
-105.0,-131.0,0,cluster_0
90.6,88.7,0,cluster_0
-134.0,-137.0,0,cluster_0
-210.0,-213.0,0,cluster_0
-52.6,-57.8,0,cluster_0
-119.0,-120.0,0,cluster_0
94.6,92.9,0,cluster_0
-84.3,-89.8,0,cluster_0
228.0,-248.0,1,cluster_1
-29.9,-30.5,0,cluster_0
-167.0,-189.0,0,cluster_0
-137.0,-150.0,0,cluster_0
-77.9,-79.6,0,cluster_0
158.0,158.0,0,cluster_0
106.0,75.1,0,cluster_0
-114.0,-111.0,0,cluster_0
170.0,168.0,0,cluster_0
165.0,163.0,0,cluster_0
-102.0,-105.0,0,cluster_0
-224.0,-228.0,0,cluster_0
-85.6,-88.0,0,cluster_0
240.0,201.0,0,cluster_0
39.7,-7.4,0,cluster_0
177.0,153.0,0,cluster_0
-168.0,-173.0,0,cluster_0
9.67,5.11,0,cluster_0
-190.0,-194.0,0,cluster_0
34.2,5.87,0,cluster_0
144.0,50.6,0,cluster_0
35.3,34.0,0,cluster_0
-203.0,-203.0,0,cluster_0
49.6,49.1,0,cluster_0
179.0,65.2,0,cluster_0
76.0,10.9,0,cluster_0
61.2,39.2,0,cluster_0
40.4,34.0,0,cluster_0
33.5,32.3,0,cluster_0
346.0,347.0,-1,noise
27.7,-123.0,0,cluster_0
88.0,84.1,0,cluster_0
53.2,44.4,0,cluster_0
56.6,51.4,0,cluster_0
-98.0,-97.4,0,cluster_0
119.0,118.0,0,cluster_0
-53.4,-55.2,0,cluster_0
-117.0,-123.0,0,cluster_0
20.7,0.518,0,cluster_0
-21.6,-65.6,0,cluster_0
-36.2,-44.4,0,cluster_0
46.6,37.4,0,cluster_0
-81.7,-87.6,0,cluster_0
-65.3,-66.1,0,cluster_0
-183.0,-192.0,0,cluster_0
-164.0,-166.0,0,cluster_0
122.0,110.0,0,cluster_0
-125.0,-152.0,0,cluster_0
96.3,96.2,0,cluster_0
136.0,136.0,0,cluster_0
28.9,26.9,0,cluster_0
-155.0,-167.0,0,cluster_0
-81.7,-83.7,0,cluster_0
61.4,58.7,0,cluster_0
114.0,-241.0,-1,noise
16.3,-121.0,0,cluster_0
139.0,95.7,0,cluster_0
51.3,42.1,0,cluster_0
-106.0,-108.0,0,cluster_0
36.6,-56.2,0,cluster_0
360.0,-173.0,1,cluster_1
122.0,110.0,0,cluster_0
79.1,74.8,0,cluster_0
178.0,121.0,0,cluster_0
154.0,131.0,0,cluster_0
228.0,-123.0,1,cluster_1
312.0,292.0,-1,noise
243.0,152.0,0,cluster_0
-131.0,-182.0,0,cluster_0
249.0,248.0,0,cluster_0
87.6,36.0,0,cluster_0
-169.0,-167.0,0,cluster_0
44.8,-196.0,0,cluster_0
422.0,425.0,-1,noise
-51.8,-118.0,0,cluster_0
156.0,-219.0,1,cluster_1
760.0,-421.0,1,cluster_1
567.0,-393.0,1,cluster_1
471.0,-305.0,1,cluster_1
871.0,-416.0,1,cluster_1
510.0,-496.0,1,cluster_1
587.0,-334.0,1,cluster_1
913.0,-363.0,1,cluster_1
682.0,-597.0,1,cluster_1
614.0,-551.0,1,cluster_1
539.0,-412.0,1,cluster_1
729.0,-580.0,1,cluster_1
844.0,-489.0,1,cluster_1
578.0,-275.0,1,cluster_1
471.0,-432.0,1,cluster_1
565.0,-512.0,1,cluster_1
899.0,-405.0,1,cluster_1
772.0,-439.0,1,cluster_1
761.0,-703.0,1,cluster_1
605.0,-433.0,1,cluster_1
446.0,-430.0,1,cluster_1
431.0,-449.0,1,cluster_1
835.0,-399.0,1,cluster_1
720.0,-385.0,1,cluster_1
574.0,-894.0,1,cluster_1
764.0,-425.0,1,cluster_1
525.0,-592.0,1,cluster_1
648.0,-255.0,1,cluster_1
652.0,-531.0,1,cluster_1
679.0,-375.0,1,cluster_1
681.0,-858.0,1,cluster_1
737.0,-444.0,1,cluster_1
712.0,-544.0,1,cluster_1
714.0,-784.0,1,cluster_1
636.0,-588.0,1,cluster_1
623.0,-510.0,1,cluster_1
571.0,-595.0,1,cluster_1
586.0,-386.0,1,cluster_1
716.0,-376.0,1,cluster_1
792.0,-478.0,1,cluster_1
471.0,-497.0,1,cluster_1
609.0,-508.0,1,cluster_1
785.0,-401.0,1,cluster_1
779.0,-669.0,1,cluster_1
739.0,-535.0,1,cluster_1
646.0,-347.0,1,cluster_1
687.0,-278.0,1,cluster_1
576.0,-542.0,1,cluster_1
659.0,-512.0,1,cluster_1
668.0,-543.0,1,cluster_1
652.0,-590.0,1,cluster_1
453.0,-307.0,1,cluster_1
621.0,-606.0,1,cluster_1
698.0,-637.0,1,cluster_1
531.0,-538.0,1,cluster_1
719.0,-700.0,1,cluster_1
418.0,-308.0,1,cluster_1
462.0,-463.0,1,cluster_1
824.0,-752.0,1,cluster_1
745.0,-378.0,1,cluster_1
603.0,-646.0,1,cluster_1
646.0,-560.0,1,cluster_1
541.0,-538.0,1,cluster_1
537.0,-537.0,1,cluster_1
470.0,-957.0,-1,noise
530.0,-548.0,1,cluster_1
530.0,-547.0,1,cluster_1
732.0,-577.0,1,cluster_1
734.0,-608.0,1,cluster_1
805.0,-405.0,1,cluster_1
693.0,-416.0,1,cluster_1
721.0,-688.0,1,cluster_1
568.0,-482.0,1,cluster_1
837.0,-437.0,1,cluster_1
694.0,-700.0,1,cluster_1
786.0,-410.0,1,cluster_1
756.0,-287.0,1,cluster_1
734.0,-515.0,1,cluster_1
711.0,-499.0,1,cluster_1
558.0,-384.0,1,cluster_1
812.0,-403.0,1,cluster_1
